player_id	player_name	team_id	team_name	jersey	year	pos	height	played	started	minutes	fgm	fga	fgpct	three_fgm	three_fga	three_fgpct	ft	fta	ftpct	pts	ptsavg	offreb	defreb	totreb	rebavg	ast	to	stl	blk	fouls	dbldbl	trpdbl
1738616	Cacok, Devontae	460	UNCW	15	Sr	F	6-7	33	31	33	951:26	203	345	58.84	1	2	50.00	93	155	60.00	500	15.15	133	273	406	12.30	21	74	31	22	115	24
1958955	Taylor, Ty	460	UNCW	21	Jr	G	6-3	33	6	33	476:38	55	163	33.74	27	94	28.72	27	48	56.25	164	4.97	12	61	73	2.21	34	34	14	5	32	0
1958953	Estime', Jay	460	UNCW	12	So	G	6-5	33	25	33	787:52	88	221	39.82	53	149	35.57	19	27	70.37	248	7.52	22	61	83	2.52	48	39	13	1	62	0
2083866	Sims, Jaylen	460	UNCW	30	Fr	G	6-6	32	4	32	605:35	55	138	39.86	29	83	34.94	42	58	72.41	181	5.66	32	64	96	3.00	28	24	12	8	47	0
1626833	O'Connell, Shawn	460	UNCW	04	Sr	F	6-8	32	2	32	538:15	44	76	57.89		1	0.00	20	37	54.05	108	3.38	47	78	125	3.91	4	26	9	9	66	0
1847842	Fornes, Jaylen	460	UNCW	01	Jr	G	6-3	30	15	30	554:54	71	187	37.97	31	95	32.63	42	47	89.36	215	7.17	30	45	75	2.50	22	35	11	3	51	0
2083861	Gadsden, Ty	460	UNCW	00	So	G	6-1	29	16	29	727:55	91	203	44.83	66	139	47.48	85	98	86.73	333	11.48	12	28	40	1.38	67	31	24	2	70	0
1847843	Elmore, Matt	460	UNCW	20	So	F	6-8	11		11	48:24	5	10	50.00		1	0.00				10	0.91	1	5	6	0.55		2		1	9	0
1958957	Kalina, Trey	460	UNCW	33	Sr	C	7-0	9	1	9	13:58		6	0.00									3	3	6	0.67		1	1			0
1958939	Etoroma, Daniel	460	UNCW	22	Sr	G	6-6	7	1	7	14:12	1	3	33.33	1	1	100.00				3	0.43		1	1	0.14						0
1958954	Brown, Jacque	460	UNCW	13	Sr	G	5-10	3		3	12:16	4	5	80.00	2	3	66.67				10	3.33						2			2	0
2129288	Jenkins, Brent	460	UNCW	3	N/A		-	1		1	1:00																					0
1886160	Borchardt, Tanner	463	Nebraska	20	Sr	F	6-8	34	15	34	644:57	39	68	57.35				19	32	59.38	97	2.85	78	69	147	4.32	14	16	16	8	88	1
1621016	Palmer, James	463	Nebraska	00	Sr	G	6-6	34	34	34	1186:20	199	535	37.20	63	200	31.50	205	270	75.93	666	19.59	36	105	141	4.15	102	70	51	14	76	0
1739748	Watson Jr., Glynn	463	Nebraska	05	Sr	G	6-0	34	34	34	1159:44	167	403	41.44	77	199	38.69	46	58	79.31	457	13.44	14	122	136	4.00	102	51	39	4	85	1
1850794	Roby, Isaiah	463	Nebraska	15	Jr	F	6-8	33	33	33	1038:40	137	312	43.91	27	82	32.93	81	123	65.85	382	11.58	63	169	232	7.03	65	65	42	64	104	3
2087600	Heiman, Brady	463	Nebraska	45	Fr	F	6-11	29		29	253:10	25	42	59.52		1	0.00	5	17	29.41	55	1.90	23	29	52	1.79	4	7	3	15	31	0
1958475	Allen, Thomas	463	Nebraska	12	So	G	6-1	29	25	29	876:58	96	220	43.64	36	99	36.36	25	29	86.21	253	8.72	10	71	81	2.79	59	29	38	6	29	0
1958493	Akenten, Nana	463	Nebraska	25	So	G	6-6	28	2	28	357:00	44	121	36.36	24	79	30.38	8	17	47.06	120	4.29	21	50	71	2.54	7	10	10	3	42	0
1958495	Thorbjarnarson, Thorir	463	Nebraska	34	So	G	6-5	23	5	23	254:03	16	46	34.78	3	19	15.79	7	10	70.00	42	1.83	9	38	47	2.04	22	13	9	5	20	0
2087596	Harris, Amir	463	Nebraska	01	Fr	G	6-6	23	2	23	268:07	23	40	57.50				4	14	28.57	50	2.17	8	49	57	2.48	17	14	10	10	22	0
1635913	Copeland, Isaac	463	Nebraska	14	Sr	F	6-9	20	20	20	613:43	105	200	52.50	25	71	35.21	45	65	69.23	280	14.00	30	77	107	5.35	22	31	21	18	41	1
1739747	Trueblood, Johnny	463	Nebraska	04	Jr	G	6-3	15		15	142:47	9	22	40.91	1	5	20.00	4	10	40.00	23	1.53	9	21	30	2.00	13	6	9		8	0
1958497	Costello, Justin	463	Nebraska	33	Fr	G	6-2	10		10	29:25	2	7	28.57	2	7	28.57	3	5	60.00	9	0.90		2	2	0.20	4	2	1		1	0
2085171	Hamilton, Bryce	465	UNLV	13	Fr	G	6-4	31		31	404:59	48	136	35.29	21	71	29.58	17	27	62.96	134	4.32	8	41	49	1.58	19	16	10	5	38	0
2085156	Robotham, Noah	465	UNLV	05	Sr	G	6-1	31	31	31	995:55	94	253	37.15	59	173	34.10	41	56	73.21	288	9.29	17	41	58	1.87	152	61	36	2	46	1
2085155	Ntambwe, Joel	465	UNLV	24	Fr	F	6-9	31	31	31	747:42	119	291	40.89	44	114	38.60	85	113	75.22	367	11.84	50	122	172	5.55	18	37	16	11	80	4
2085172	Tchamwa Tchatchoua, Jonathan	465	UNLV	30	Fr	F	6-8	31	11	31	410:17	38	80	47.50		3	0.00	30	44	68.18	106	3.42	57	50	107	3.45	6	25	7	21	68	1
1857223	Clyburn, Kris	465	UNLV	01	Sr	G	6-6	31	31	31	974:31	153	352	43.47	55	157	35.03	76	100	76.00	437	14.10	51	113	164	5.29	36	58	31	6	54	1
1959846	Hardy, Amauri	465	UNLV	03	So	G	6-2	31	19	31	919:00	138	314	43.95	45	132	34.09	85	124	68.55	406	13.10	15	78	93	3.00	107	65	21	5	54	1
1959840	Mbacke Diong, Cheikh	465	UNLV	34	So	F	6-11	27	22	27	652:27	75	127	59.06		2	0.00	37	71	52.11	187	6.93	71	112	183	6.78	8	35	20	41	90	1
2085173	Woodbury, Trey	465	UNLV	22	Fr	G	6-4	22		22	139:51	11	36	30.56	6	21	28.57	2	5	40.00	30	1.36	1	14	15	0.68	5	11	10	2	19	0
2085080	Blair, Nick	465	UNLV	20	Jr	F	6-5	19	2	19	402:09	41	100	41.00	13	39	33.33	24	35	68.57	119	6.26	32	69	101	5.32	19	21	8	4	32	0
1959847	Beck, Tervell	465	UNLV	14	So	F	6-7	18		18	216:07	26	52	50.00	3	13	23.08	18	30	60.00	73	4.06	14	23	37	2.06	6	25	7	6	30	0
2085153	Coleman, Marvin	465	UNLV	31	Fr	G	6-2	11		11	45:39	5	10	50.00	1	2	50.00	6	6	100.00	17	1.55	1	2	3	0.27	5	2	3		9	0
1861094	Coupet Jr, Ben	465	UNLV	02	So	F	6-7	9		9	36:43	4	10	40.00		5	0.00	5	7	71.43	13	1.44	2	10	12	1.33	1	4	2	3	7	0
1861093	Dembele, Cheickna	465	UNLV	15	Jr	F	6-11	9		9	73:05	4	12	33.33				5	8	62.50	13	1.44	9	15	24	2.67	1	5	1	2	6	0
1959839	Juiston, Shakur	465	UNLV	10	Sr	F	6-7	8		8	231:28	35	79	44.30	4	13	30.77	12	21	57.14	86	10.75	14	56	70	8.75	16	29	12	7	23	3
1735040	Gibson, JT	464	Omaha	00	Jr	G	6-3	32	32	32	1069:50	150	336	44.64	76	194	39.18	36	46	78.26	412	12.88	9	79	88	2.75	68	42	39	3	58	0
1954477	Pile, Matt	464	Omaha	40	So	F	6-8	32	32	32	845:50	155	264	58.71				48	87	55.17	358	11.19	99	153	252	7.88	39	55	21	26	79	9
1735043	Jackson, Zach	464	Omaha	21	Sr	G	6-5	32	32	32	1092:45	204	412	49.51	60	139	43.17	110	145	75.86	578	18.06	30	109	139	4.34	61	51	26	4	58	1
1954473	Akinwole, Ayo	464	Omaha	10	So	G	6-0	32	3	32	619:03	55	118	46.61	20	43	46.51	30	37	81.08	160	5.00	12	52	64	2.00	53	26	29	1	44	0
1735041	Hahn, Mitch	464	Omaha	44	Sr	F	6-8	32	32	32	1022:02	166	355	46.76	56	149	37.58	48	62	77.42	436	13.62	30	173	203	6.34	53	44	17	5	69	4
1734328	Barney, Brett	464	Omaha	22	Jr	C	6-9	31		31	333:30	33	80	41.25	14	41	34.15	5	13	38.46	85	2.74	16	41	57	1.84	10	11	3	2	54	0
2081527	Tut, Wanjang	464	Omaha	13	Fr	F	6-8	31		31	341:59	53	112	47.32	5	15	33.33	8	11	72.73	119	3.84	16	54	70	2.26	17	27	9	16	57	0
1846352	Robinson, KJ	464	Omaha	5	Jr	G	6-0	29	29	29	887:02	115	264	43.56	44	115	38.26	49	62	79.03	323	11.14	8	57	65	2.24	95	31	29	2	42	0
1954475	Miller, Hayden	464	Omaha	20	Fr	G	6-1	11		11	33:06	3	10	30.00	2	8	25.00				8	0.73	2	1	3	0.27	2	1	1		6	0
1954476	Tricker, Evan	464	Omaha	33	Fr	F	6-11	10		10	17:06	1	3	33.33	1	2	50.00				3	0.30	1	3	4	0.40		1			3	0
2081491	Duplechan, Elishja	464	Omaha	01	So	G	5-10	10		10	82:25	3	21	14.29		6	0.00	5	8	62.50	11	1.10		7	7	0.70	6	5	2	1	9	0
1954472	Thornhill, Zach	464	Omaha	4	Fr	G	6-4	10		10	103:15	12	23	52.17	4	7	57.14	2	2	100.00	30	3.00	6	11	17	1.70	5	3	4	1	7	0
1734643	Porter, Trey	466	Nevada	15	Sr	F	6-11	33	33	33	576:16	85	140	60.71	1	7	14.29	72	113	63.72	243	7.36	45	113	158	4.79	15	34	8	27	90	1
1622788	Thurman, Tre'Shawn	466	Nevada	00	Sr	F	6-7	33	28	33	859:41	100	200	50.00	19	70	27.14	54	68	79.41	273	8.27	55	134	189	5.73	57	31	39	24	93	4
1957449	Martin, Cody	466	Nevada	11	Sr	F	6-7	33	33	33	1130:05	143	287	49.83	32	90	35.56	69	92	75.00	387	11.73	31	116	147	4.45	167	62	43	23	82	2
1957448	Martin, Caleb	466	Nevada	10	Sr	F	6-7	33	32	33	1123:28	196	470	41.70	105	306	34.31	138	189	73.02	635	19.24	26	141	167	5.06	95	57	45	26	79	2
1847012	Caroline, Jordan	466	Nevada	24	Sr	F	6-7	32	32	32	1132:16	191	416	45.91	46	121	38.02	127	200	63.50	555	17.34	76	232	308	9.62	63	79	21	9	71	18
2083040	Brown, Jordan	466	Nevada	21	Fr	F	6-11	32	1	32	330:22	40	79	50.63		1	0.00	20	32	62.50	100	3.12	16	54	70	2.19	15	24	10	16	34	1
1741036	Johnson, Jazz	466	Nevada	22	Jr	G	5-10	32	1	32	914:32	112	230	48.70	70	155	45.16	65	77	84.42	359	11.22	7	49	56	1.75	48	26	19	2	59	0
1635768	Henson, Corey	466	Nevada	2	Sr	G	6-3	30	5	30	387:10	27	68	39.71	16	50	32.00	13	14	92.86	83	2.77	5	22	27	0.90	22	14	15		38	0
1734770	Zouzoua, Nisre	466	Nevada	5	Jr	G	6-2	21		21	126:43	11	50	22.00	3	29	10.34	2	6	33.33	27	1.29	2	18	20	0.95	12	5	3	2	14	0
1994119	Cunningham, David	466	Nevada	20	Sr	G	6-4	14		14	16:22		4	0.00		2	0.00							4	4	0.29		1	1		3	0
2083019	Wurm, Zach	466	Nevada	54	Jr	G	6-4	2		2	3:00																					
1733051	Reed, Jordan	469	New Hampshire	11	Sr	G	5-11	29	28	29	912:16	99	260	38.08	55	154	35.71	49	57	85.96	302	10.41	14	72	86	2.97	41	45	25	1	71	0
1733052	Watkins, David	469	New Hampshire	22	Sr	F	6-7	29	18	29	567:14	65	201	32.34	22	92	23.91	30	53	56.60	182	6.28	21	101	122	4.21	23	42	5	5	61	2
2086580	Maultsby, Marque	469	New Hampshire	01	Fr	G	6-3	27	16	27	568:37	61	191	31.94	17	60	28.33	19	24	79.17	158	5.85	16	61	77	2.85	46	46	19	4	65	0
1842940	Carbone, Mark	469	New Hampshire	05	Jr	G	6-2	27	2	27	423:58	47	119	39.50	31	79	39.24	16	19	84.21	141	5.22	5	53	58	2.15	27	30	4	2	45	0
1958353	Jordan, Elijah	469	New Hampshire	13	So	G	6-1	26	16	26	565:11	58	165	35.15	22	75	29.33	16	29	55.17	154	5.92	11	41	52	2.00	56	30	3	10	36	0
2086558	Guadarrama, Nick	469	New Hampshire	03	Fr	F	6-5	26	11	26	638:04	73	161	45.34	28	69	40.58	29	60	48.33	203	7.81	34	105	139	5.35	40	42	24	9	61	1
1846341	Lester, Chris	469	New Hampshire	23	Jr	F	6-6	26	19	26	518:37	54	124	43.55	15	43	34.88	9	19	47.37	132	5.08	51	62	113	4.35	30	27	12	2	52	1
1958354	Hopkins, Josh	469	New Hampshire	15	So	G	6-5	23	23	23	660:54	72	198	36.36	41	115	35.65	24	43	55.81	209	9.09	20	40	60	2.61	29	23	5	1	41	0
2091633	Hall, David	469	New Hampshire	02	Jr	F	6-6	22	1	22	203:14	10	27	37.04	4	14	28.57	10	23	43.48	34	1.55	10	23	33	1.50	6	19	9	1	20	0
2086581	Martinez, Jayden	469	New Hampshire	24	Fr	F	6-7	20	8	20	393:13	60	138	43.48	20	62	32.26	18	26	69.23	158	7.90	16	86	102	5.10	16	24	5	15	44	2
1846342	Rosinski, Luke	469	New Hampshire	44	Jr	F	6-8	19	3	19	180:36	9	26	34.62	1	2	50.00	8	17	47.06	27	1.42	19	28	47	2.47	5	8	2	2	23	1
1846340	Love, Kijana	469	New Hampshire	00	Jr	G	6-1	16		16	112:23	12	37	32.43	5	21	23.81	2	7	28.57	31	1.94	3	6	9	0.56	5	6	2		11	0
1846339	Ogwuche, John	469	New Hampshire	10	Jr	G	6-1	5		5	44:36	2	8	25.00		1	0.00	2	4	50.00	6	1.20	2	8	10	2.00		1	1	1	2	0
2086559	Hobbs, Nate	469	New Hampshire	14	Fr	G	6-3	2		2	11:00	1	1	100.00				3	4	75.00	5	2.50		3	3	1.50	1	2			1	
1968198	Hopkins, Nick	14927	Belmont	14	So	G	6-0	31	11	31	537:34	68	170	40.00	54	140	38.57	22	23	95.65	212	6.84	3	52	55	1.77	47	24	17	1	34	0
1735788	Windler, Dylan	14927	Belmont	03	Sr	F	6-8	31	31	31	1015:27	230	420	54.76	92	214	42.99	110	130	84.62	662	21.35	60	272	332	10.71	80	66	44	18	66	17
1735790	McClain, Kevin	14927	Belmont	11	Sr	G	6-3	31	31	31	1027:28	171	373	45.84	66	180	36.67	97	140	69.29	505	16.29	14	95	109	3.52	126	69	39	8	57	1
1735791	Adelsperger, Seth	14927	Belmont	50	Jr	C	6-11	31	1	31	379:38	53	76	69.74				42	62	67.74	148	4.77	37	41	78	2.52	5	5	4	13	46	0
1974207	Murphy, Grayson	14927	Belmont	02	Fr	G	6-2	31	31	31	922:04	126	255	49.41	27	74	36.49	26	45	57.78	305	9.84	24	114	138	4.45	204	77	52	4	65	3
1735789	Benkert, Michael	14927	Belmont	24	Jr	G	6-4	30	3	30	649:18	40	101	39.60	31	88	35.23	18	22	81.82	129	4.30	13	38	51	1.70	18	18	10		57	0
2094438	Muszynski, Nick	14927	Belmont	33	Fr	C	6-11	30	30	30	749:32	186	306	60.78	7	18	38.89	67	86	77.91	446	14.87	40	137	177	5.90	80	48	17	65	59	2
2094435	Pierson, Tate	14927	Belmont	20	Fr	G	6-6	27		27	159:19	9	27	33.33	6	19	31.58	5	8	62.50	29	1.07	9	15	24	0.89	7	1		1	5	0
